DATE	output_growth	inflation	interest_rate	inflation_expectations
1966Q1	2.136118	2.553327	4.560000	
1966Q2	0.061044	3.269192	4.913333	
1966Q3	0.558225	3.850699	5.410000	
1966Q4	0.518569	3.327632	5.563333	
1967Q1	0.550708	1.665031	4.823333	
1967Q2	-0.312518	2.025670	3.990000	
1967Q3	0.449764	3.816191	3.893333	
1967Q4	0.297507	4.432930	4.173333	
1968Q1	1.629733	4.406587	4.790000	
1968Q2	1.317892	4.204509	5.983333	
1968Q3	0.364153	3.899264	5.946667	
1968Q4	-0.083235	5.606607	5.916667	
1969Q1	1.104797	4.106110	6.566667	3.114068
1969Q2	-0.104090	5.053055	8.326667	2.567975
1969Q3	0.229910	5.591287	8.983333	3.329653
1969Q4	-0.972405	5.125768	8.940000	3.420652
1970Q1	-0.667447	5.605860	8.573333	4.012070
1970Q2	-0.391714	5.528380	7.886667	3.587468
1970Q3	0.348665	3.268882	6.706667	4.155398
1970Q4	-1.660807	5.253175	5.566667	3.537474
1971Q1	2.122144	6.029974	3.856667	3.620348
1971Q2	-0.029862	5.221608	4.566667	3.645030
1971Q3	0.266121	4.050048	5.476667	3.724205
1971Q4	-0.332070	3.322309	4.750000	3.252241
1972Q1	0.692804	6.050660	3.546667	3.279831
1972Q2	1.718518	2.482213	4.300000	3.355187
1972Q3	0.409622	3.802826	4.743333	3.356652
1972Q4	1.182667	5.068233	5.146667	3.474364
1973Q1	1.930121	4.582803	6.536667	3.740097
1973Q2	0.566716	6.110721	7.816667	3.584949
1973Q3	-1.042979	7.704921	10.560000	4.272666
1973Q4	0.439068	7.892723	9.996667	4.750183
1974Q1	-1.375290	7.478396	9.323333	5.741758
1974Q2	-0.271401	9.343349	11.250000	6.792391
1974Q3	-1.450255	11.558949	12.090000	6.764940
1974Q4	-0.889576	11.596345	9.346667	7.570607
1975Q1	-1.709433	8.990818	6.303333	8.315105
1975Q2	0.239336	5.898063	5.420000	7.900427
1975Q3	1.128587	6.999026	6.160000	6.144866
1975Q4	0.846189	6.640038	5.413333	5.817551
1976Q1	1.747074	4.204170	4.826667	5.873135
1976Q2	0.281175	4.009158	5.196667	6.234261
1976Q3	0.063686	5.138964	5.283333	6.015715
1976Q4	0.276762	7.106752	4.873333	5.869439
1977Q1	0.742187	6.379172	4.660000	5.380302
1977Q2	1.454733	5.606350	5.156667	5.318131
1977Q3	1.298337	4.838717	5.820000	5.752749
1977Q4	-0.442772	8.554852	6.513333	6.616941
1978Q1	-0.109578	5.767837	6.756667	5.793218
1978Q2	3.359723	7.579457	7.283333	5.606887
1978Q3	0.543844	6.736572	8.100000	6.349750
1978Q4	0.868509	8.097991	9.583333	8.197341
1979Q1	-0.268779	7.227406	10.073333	7.088344
1979Q2	-0.314392	9.680220	10.180000	7.497940
1979Q3	0.283611	8.653173	10.946667	8.117682
1979Q4	-0.266488	7.353786	13.576667	8.778811
